=========================================================================================================================================================================================================
||                                                                        BANG QUAN LY TOT NGHIEP TRUNG HOC PHO THONG                                                                                  ||
=========================================================================================================================================================================================================
||STT||  MSHS  ||Ho va         Ten       ||Gioi tinh||Ngay sinh ||Diem Van||Diem Toan ||Diem AV || To Hop ||Diem To Hop||  Tb 12 ||Diem KK ||Diem UT ||Diem Xet TN||      Noi Thi     ||   Tinh Trang  ||
=========================================================================================================================================================================================================
||1  ||20570231||Le Tuan       Nghia     ||Nam      ||5 /11/2002||0.3     ||8.8       ||7.6     ||Tu nhien||8          ||8.5     ||0       ||0       ||6.8725     ||Dia diem thi so 2 ||Chua Tot Nghiep||
||2  ||20570387||Huynh Ngoc    Tram      ||Nu       ||6 /12/2002||9.4     ||9.5       ||9.6     ||Xa hoi  ||8.73333    ||8.5     ||0.25    ||0.3     ||9.40958    ||Dia diem thi so 3 ||Tot Nghiep     ||
||3  ||20570978||Do My         Lan       ||Nu       ||6 /4 /2001||9.6     ||9.1       ||9.3     ||Tu nhien||8.8        ||8.9     ||0       ||0       ||9.11       ||Dia diem thi so 9 ||Tot Nghiep     ||
||4  ||20570788||Tran Minh     Duc       ||Nam      ||7 /8 /2002||7.8     ||8.9       ||8.6     ||Tu nhien||9.23333    ||8.7     ||0       ||0.25    ||8.90333    ||Dia diem thi so 7 ||Tot Nghiep     ||
||5  ||20572263||Tran Gia      Han       ||Nu       ||30/10/2002||7.5     ||8.6       ||7.8     ||Tu nhien||8.6        ||7       ||0.1     ||0       ||7.805      ||Dia diem thi so 22||Tot Nghiep     ||
||6  ||20570267||Nguyen Thanh  Thao      ||Nu       ||21/6 /2002||8.9     ||9.2       ||9.1     ||Xa hoi  ||8.73333    ||8.8     ||0.25    ||0.25    ||9.22208    ||Dia diem thi so 2 ||Tot Nghiep     ||
||7  ||20571192||Vo Huu        Nghia     ||Nam      ||14/6 /2002||4.4     ||4.6       ||4.5     ||Tu nhien||4.76667    ||5.6     ||0.1     ||0.1     ||4.99417    ||Dia diem thi so 11||Chua Tot Nghiep||
||8  ||20572901||Tran Xuan     An        ||Nu       ||5 /5 /2002||8.5     ||8.3       ||6.5     ||Xa hoi  ||8.66667    ||8.3     ||0       ||0.1     ||8.18417    ||Dia diem thi so 29||Tot Nghiep     ||
||9  ||20570133||Luong Trung   Dong      ||Nam      ||14/8 /2002||7.5     ||8.6       ||7.5     ||Tu nhien||8.36667    ||8.6     ||0.2     ||0.1     ||8.30917    ||Dia diem thi so 1 ||Tot Nghiep     ||
||10 ||20571592||Nguyen Thanh  Thang     ||Nam      ||16/9 /2002||8.6     ||9.2       ||6.5     ||Xa hoi  ||7.93333    ||8.3     ||0.05    ||0.1     ||8.23958    ||Dia diem thi so 15||Tot Nghiep     ||
||11 ||20570231||Le Tuan       Nghia     ||Nam      ||5 /11/2002||0.3     ||8.8       ||7.6     ||Tu nhien||8          ||8.5     ||0       ||0       ||6.8725     ||Dia diem thi so 2 ||Chua Tot Nghiep||
||12 ||20570387||Huynh Ngoc    Tram      ||Nu       ||6 /12/2002||9.4     ||9.5       ||9.6     ||Xa hoi  ||8.73333    ||8.5     ||0.25    ||0.3     ||9.40958    ||Dia diem thi so 3 ||Tot Nghiep     ||
||13 ||20570978||Do My         Lan       ||Nu       ||6 /4 /2001||9.6     ||9.1       ||9.3     ||Tu nhien||8.8        ||8.9     ||0       ||0       ||9.11       ||Dia diem thi so 9 ||Tot Nghiep     ||
||14 ||20570788||Tran Minh     Duc       ||Nam      ||7 /8 /2002||7.8     ||8.9       ||8.6     ||Tu nhien||9.23333    ||8.7     ||0       ||0.25    ||8.90333    ||Dia diem thi so 7 ||Tot Nghiep     ||
||15 ||20572263||Tran Gia      Han       ||Nu       ||30/10/2002||7.5     ||8.6       ||7.8     ||Tu nhien||8.6        ||7       ||0.1     ||0       ||7.805      ||Dia diem thi so 22||Tot Nghiep     ||
||16 ||20570267||Nguyen Thanh  Thao      ||Nu       ||21/6 /2002||8.9     ||9.2       ||9.1     ||Xa hoi  ||8.73333    ||8.8     ||0.25    ||0.25    ||9.22208    ||Dia diem thi so 2 ||Tot Nghiep     ||
||17 ||20571192||Vo Huu        Nghia     ||Nam      ||14/6 /2002||4.4     ||4.6       ||4.5     ||Tu nhien||4.76667    ||5.6     ||0.1     ||0.1     ||4.99417    ||Dia diem thi so 11||Chua Tot Nghiep||
||18 ||20572901||Tran Xuan     An        ||Nu       ||5 /5 /2002||8.5     ||8.3       ||6.5     ||Xa hoi  ||8.66667    ||8.3     ||0       ||0.1     ||8.18417    ||Dia diem thi so 29||Tot Nghiep     ||
||19 ||20570133||Luong Trung   Dong      ||Nam      ||14/8 /2002||7.5     ||8.6       ||7.5     ||Tu nhien||8.36667    ||8.6     ||0.2     ||0.1     ||8.30917    ||Dia diem thi so 1 ||Tot Nghiep     ||
||20 ||20571592||Nguyen Thanh  Thang     ||Nam      ||16/9 /2002||8.6     ||9.2       ||6.5     ||Xa hoi  ||7.93333    ||8.3     ||0.05    ||0.1     ||8.23958    ||Dia diem thi so 15||Tot Nghiep     ||
=========================================================================================================================================================================================================
